project,DV_MRR,LDA_MRR
astropy,0.057449346273,0.390566511669
biopython,0.155818925054,0.25746571681
buildbot,0.164248202162,0.252714937879
calibre,0.12640156153,0.168673500832
cherrypy,0.23607658955,0.321836242565
cinder,0.181942284851,0.372749210436
django,0.0906820284357,0.19282598929
emesene,0.0778548894078,0.247733006133
EventGhost,0.144033336163,0.224381291556
exaile,0.101206751798,0.322906637483
globaleaks,0.167954344421,0.205301999547
gramps,0.0847572288222,0.165955735698
gtg,0.382362288136,0.55
heat,0.199026968884,0.215743218763
ipython,0.0769235950416,0.158386277386
kivy,0.134492763779,0.373360648999
magnum,0.137215549039,0.353052875242
mailman,0.240828969967,0.256765172659
manila,0.0668952601283,0.154704511722
matplotlib,0.0998522658448,0.248693043268
miro,0.122402131131,0.329190988326
networkx,0.306787923097,0.444700248555
neutron,0.0550693605424,0.212809086673
nova,0.206766296503,0.419754866339
numpy,0.16662413379,0.346794671185
pathomx,0.174173515158,0.278005534139
Pillow,0.180411309755,0.333623581852
pip,0.0929268003823,0.258728971081
portage,0.109115035423,0.409388115471
pygame,0.138382046726,0.180630561261
pyramid,0.0497903333893,0.126500903943
Pyro4,0.130556538781,0.29904065419
python-api,0.143415839703,0.329781453956
quodlibet,0.113231925111,0.403046871046
sabnzbd,0.276921054529,0.270348781785
sage,0.218030740434,0.413667621083
scikit-image,0.0871459691259,0.345299744908
scikit-learn,0.111669333105,0.314081350974
sympy,0.0880729335825,0.321011873649
tg2,0.11698118048,0.418493721081
tornado,0.221889468043,0.407518171916
trac,0.0301437712439,0.0560570388099
tryton,0.178298009452,0.486236785003
twisted,0.0466278841883,0.19303324014
veusz,0.103417808317,0.228082485745
VisTrails,0.0787104326558,0.0963005370779
vpython-wx,0.145578731299,0.359839184707
web2py,0.0548569833696,0.128367396497
wxPython,0.124795329755,0.0603353046239
Zope,0.0805330657899,0.240058355945
