name,url,forks,size,watchers
phonegap-plugins,https://github.com/purplecabbage/phonegap-plugins,3502,60108,995
ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,2159,13941,4345
game-of-life,https://github.com/wakaleo/game-of-life,2093,32552,1370
SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,1813,26023,3520
bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,1364,340830,895
facebook-android-sdk,https://github.com/facebook/facebook-android-sdk,1275,31708,2524
libgdx,https://github.com/libgdx/libgdx,1218,744226,1470
spring-framework,https://github.com/SpringSource/spring-framework,1214,68782,2017
CraftBukkit,https://github.com/Bukkit/CraftBukkit,1156,52132,1880
Android-ViewPagerIndicator,https://github.com/JakeWharton/Android-ViewPagerIndicator,1129,5045,2394
storm,https://github.com/nathanmarz/storm,1104,262053,6545
android,https://github.com/github/android,1079,12204,2677
android_frameworks_base,https://github.com/KellyMahan/android_frameworks_base,1021,142336,47
elasticsearch,https://github.com/elasticsearch/elasticsearch,1009,1904265,4448
hudson,https://github.com/kohsuke/hudson,997,16608,215
Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,989,2678,2149
android-async-http,https://github.com/loopj/android-async-http,951,946,1928
platform_frameworks_base,https://github.com/android/platform_frameworks_base,947,1255157,1051
Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,883,14647,2273
Bukkit,https://github.com/Bukkit/Bukkit,846,12522,1362
wildfly,https://github.com/wildfly/wildfly,845,150680,885
AndEngine,https://github.com/nicolasgramlich/AndEngine,751,10235,1608
jboss-as,https://github.com/jbossas/jboss-as,728,78100,790
netty,https://github.com/netty/netty,683,308862,1940
JSON-java,https://github.com/douglascrockford/JSON-java,676,341,798
android_packages_apps_Settings,https://github.com/daproy/android_packages_apps_Settings,674,3686,11
springside4,https://github.com/springside/springside4,674,12472,1065
liferay-portal,https://github.com/liferay/liferay-portal,672,2745409,519
liferay-plugins,https://github.com/liferay/liferay-plugins,623,1132739,329
android_build,https://github.com/abstrakraft/android_build,600,4092,6
scribe-java,https://github.com/fernandezpablo85/scribe-java,593,3784,1550
cw-omnibus,https://github.com/commonsguy/cw-omnibus,589,23589,575
cw-advandroid,https://github.com/commonsguy/cw-advandroid,589,1468,847
GreenDroid,https://github.com/cyrilmottier/GreenDroid,589,1914,1827
k-9,https://github.com/k9mail/k-9,583,44421,960
Arduino,https://github.com/arduino/Arduino,564,1124991,1637
android-app,https://github.com/eoecn/android-app,549,2918,275
junit,https://github.com/junit-team/junit,509,45470,1796
android-pulltorefresh,https://github.com/johannilsson/android-pulltorefresh,491,216,1325
android-app,https://github.com/oschina/android-app,483,2048,459
hibernate-orm,https://github.com/hibernate/hibernate-orm,481,146898,755
hadoop-common,https://github.com/apache/hadoop-common,477,332921,546
spring-mvc-showcase,https://github.com/SpringSource/spring-mvc-showcase,470,766,648
gephi,https://github.com/gephi/gephi,466,223519,469
clojure,https://github.com/clojure/clojure,453,48548,2448
vert.x,https://github.com/eclipse/vert.x,450,342092,2315
cw-android,https://github.com/commonsguy/cw-android,443,1152,765
vert.x,https://github.com/vert-x/vert.x,441,340552,2296
HoloEverywhere,https://github.com/Prototik/HoloEverywhere,440,18848,1518
astrid,https://github.com/todoroo/astrid,429,30669,727
android-flip,https://github.com/openaphid/android-flip,423,1504,654
android-menudrawer,https://github.com/SimonVT/android-menudrawer,422,4179,1138
android-actionbar,https://github.com/johannilsson/android-actionbar,421,292,1080
Anki-Android,https://github.com/Ramblurr/Anki-Android,415,3228,35
Essentials,https://github.com/essentials/Essentials,407,252431,336
dropwizard,https://github.com/codahale/dropwizard,400,5854,1158
robolectric,https://github.com/xtremelabs/robolectric,400,116,78
metrics,https://github.com/codahale/metrics,396,15720,1657
grails-core,https://github.com/grails/grails-core,393,310222,841
cucumber-jvm,https://github.com/cucumber/cucumber-jvm,387,17107,625
